"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amber/Lesson Plan Creator/README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"/Users/amber/Lesson Plan Creator/firebase.json", "JSON", 0, 0, 7, 0, 0, 29, 0, 36
"/Users/amber/Lesson Plan Creator/firestore.indexes.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"/Users/amber/Lesson Plan Creator/functions/index.js", "JavaScript", 34, 0, 0, 0, 0, 6, 6, 46
"/Users/amber/Lesson Plan Creator/functions/package-lock.json", "JSON", 0, 0, 6140, 0, 0, 0, 1, 6141
"/Users/amber/Lesson Plan Creator/functions/package.json", "JSON", 0, 0, 23, 0, 0, 0, 1, 24
"/Users/amber/Lesson Plan Creator/package-lock.json", "JSON", 0, 0, 23669, 0, 0, 0, 1, 23670
"/Users/amber/Lesson Plan Creator/package.json", "JSON", 0, 0, 58, 0, 0, 0, 1, 59
"/Users/amber/Lesson Plan Creator/public/404.html", "HTML", 0, 0, 0, 0, 32, 0, 2, 34
"/Users/amber/Lesson Plan Creator/public/index.html", "HTML", 0, 0, 0, 0, 26, 0, 1, 27
"/Users/amber/Lesson Plan Creator/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"/Users/amber/Lesson Plan Creator/src/App.js", "JavaScript", 113, 0, 0, 0, 0, 0, 8, 121
"/Users/amber/Lesson Plan Creator/src/UserInfoProvider.js", "JavaScript", 66, 0, 0, 0, 0, 0, 6, 72
"/Users/amber/Lesson Plan Creator/src/components/Buttons.js", "JavaScript", 246, 0, 0, 0, 0, 1, 20, 267
"/Users/amber/Lesson Plan Creator/src/components/Chart.js", "JavaScript", 216, 0, 0, 0, 0, 3, 26, 245
"/Users/amber/Lesson Plan Creator/src/components/Footer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 5, 34
"/Users/amber/Lesson Plan Creator/src/components/GameMode.js", "JavaScript", 372, 0, 0, 0, 0, 18, 37, 427
"/Users/amber/Lesson Plan Creator/src/components/Header.js", "JavaScript", 52, 0, 0, 0, 0, 0, 8, 60
"/Users/amber/Lesson Plan Creator/src/components/HoverComputer/HoverComputer.js", "JavaScript", 129, 0, 0, 0, 0, 0, 23, 152
"/Users/amber/Lesson Plan Creator/src/components/Matching/Matching.css", "CSS", 0, 98, 0, 0, 0, 0, 13, 111
"/Users/amber/Lesson Plan Creator/src/components/Matching/Matching.js", "JavaScript", 148, 0, 0, 0, 0, 21, 19, 188
"/Users/amber/Lesson Plan Creator/src/components/Modal.js", "JavaScript", 41, 0, 0, 0, 0, 13, 3, 57
"/Users/amber/Lesson Plan Creator/src/components/MultipleChoice.js", "JavaScript", 93, 0, 0, 0, 0, 1, 7, 101
"/Users/amber/Lesson Plan Creator/src/components/Sorting.js", "JavaScript", 187, 0, 0, 0, 0, 19, 19, 225
"/Users/amber/Lesson Plan Creator/src/components/StudentMainSidebar.js", "JavaScript", 140, 0, 0, 0, 0, 0, 14, 154
"/Users/amber/Lesson Plan Creator/src/components/StudentMainTopbar.js", "JavaScript", 13, 0, 0, 0, 0, 1, 7, 21
"/Users/amber/Lesson Plan Creator/src/components/TeacherMainSidebar.js", "JavaScript", 172, 0, 0, 0, 0, 0, 16, 188
"/Users/amber/Lesson Plan Creator/src/components/TeacherMainTopbar.js", "JavaScript", 13, 0, 0, 0, 0, 1, 7, 21
"/Users/amber/Lesson Plan Creator/src/components/YouTubeWithQuestion.js", "JavaScript", 533, 0, 0, 0, 0, 17, 53, 603
"/Users/amber/Lesson Plan Creator/src/index.css", "CSS", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/amber/Lesson Plan Creator/src/index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"/Users/amber/Lesson Plan Creator/src/pages/AddClass/AddClass.css", "CSS", 0, 36, 0, 0, 0, 2, 8, 46
"/Users/amber/Lesson Plan Creator/src/pages/AddClass/AddClass.js", "JavaScript", 625, 0, 0, 0, 0, 18, 48, 691
"/Users/amber/Lesson Plan Creator/src/pages/Badge/Badge.js", "JavaScript", 229, 0, 0, 0, 0, 2, 23, 254
"/Users/amber/Lesson Plan Creator/src/pages/Course/Course.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/amber/Lesson Plan Creator/src/pages/CreateCourse/CreateCourse.js", "JavaScript", 220, 0, 0, 0, 0, 276, 25, 521
"/Users/amber/Lesson Plan Creator/src/pages/CreateUnit/CreateUnit.js", "JavaScript", 741, 0, 0, 0, 0, 8, 42, 791
"/Users/amber/Lesson Plan Creator/src/pages/EditClass/EditClass.css", "CSS", 0, 36, 0, 0, 0, 2, 8, 46
"/Users/amber/Lesson Plan Creator/src/pages/EditClass/EditClass.js", "JavaScript", 544, 0, 0, 0, 0, 16, 53, 613
"/Users/amber/Lesson Plan Creator/src/pages/EditCourse/EditCourse.js", "JavaScript", 204, 0, 0, 0, 0, 269, 21, 494
"/Users/amber/Lesson Plan Creator/src/pages/EditUnit/EditUnit.js", "JavaScript", 759, 0, 0, 0, 0, 9, 42, 810
"/Users/amber/Lesson Plan Creator/src/pages/Login/Login.js", "JavaScript", 290, 0, 0, 0, 0, 0, 22, 312
"/Users/amber/Lesson Plan Creator/src/pages/Main/Main.js", "JavaScript", 313, 0, 0, 0, 0, 12, 33, 358
"/Users/amber/Lesson Plan Creator/src/pages/ManageBadge/ManageBadge.js", "JavaScript", 277, 0, 0, 0, 0, 2, 33, 312
"/Users/amber/Lesson Plan Creator/src/pages/ManageClass/ManageClass.js", "JavaScript", 191, 0, 0, 0, 0, 19, 21, 231
"/Users/amber/Lesson Plan Creator/src/pages/Register/Register.js", "JavaScript", 189, 0, 0, 0, 0, 2, 18, 209
"/Users/amber/Lesson Plan Creator/src/pages/Score/Score.js", "JavaScript", 233, 0, 0, 0, 0, 5, 39, 277
"/Users/amber/Lesson Plan Creator/src/pages/StudentMain/StudentMain.js", "JavaScript", 377, 0, 0, 0, 0, 2, 31, 410
"/Users/amber/Lesson Plan Creator/src/pages/StudentProfile/StudentProfile.js", "JavaScript", 131, 0, 0, 0, 0, 200, 17, 348
"/Users/amber/Lesson Plan Creator/src/pages/TeacherMain/TeacherMain.js", "JavaScript", 568, 0, 0, 0, 0, 8, 42, 618
"/Users/amber/Lesson Plan Creator/src/pages/TeacherProfile/TeacherProfile.js", "JavaScript", 132, 0, 0, 0, 0, 198, 17, 347
"/Users/amber/Lesson Plan Creator/src/utils/firebaseApp.js", "JavaScript", 17, 0, 0, 0, 0, 6, 6, 29
"Total", "-", 8654, 183, 29926, 38, 58, 1186, 896, 40941
